ma_tai_san,ten_tai_san,ngay_mua_ts,don_vi_tien_te,gia_tri_ban_dau,gia_tri_hien_tai,danh_muc_ts_id/ten_danh_muc_ts,pp_khau_hao,thoi_gian_su_dung,thoi_gian_toi_da,ty_le_khau_hao,don_vi_tinh,ghi_chu
TS001,Laptop Dell Latitude 5540,2023-01-10,vnd,25000000,22000000,Máy tính xách tay,straight-line,1,5,20,Chiếc,Phòng IT
TS002,Laptop HP ProBook 450,2023-03-15,vnd,20000000,17000000,Máy tính xách tay,straight-line,1,5,20,Chiếc,Phòng IT
TS003,Laptop Asus VivoBook 15,2022-06-20,vnd,18000000,12000000,Máy tính xách tay,straight-line,2,5,20,Chiếc,Phòng KD
TS004,Máy in Canon LBP 2900,2021-08-05,vnd,5500000,3000000,Thiết bị văn phòng,straight-line,3,7,15,Chiếc,Phòng HCNS
TS005,Máy chiếu Epson EB-X51,2022-01-20,vnd,12000000,9000000,Thiết bị văn phòng,straight-line,2,7,15,Chiếc,Phòng họp
TS006,Máy tính để bàn Dell OptiPlex,2021-05-10,vnd,15000000,8000000,Máy tính để bàn,straight-line,3,5,20,Bộ,Phòng KT
TS007,Switch TP-Link 24 port,2022-09-01,vnd,3500000,2800000,Thiết bị mạng,straight-line,2,5,20,Chiếc,Phòng IT
TS008,Bàn làm việc gỗ công nghiệp,2020-03-15,vnd,2500000,1500000,Nội thất văn phòng,straight-line,4,10,10,Chiếc,Phòng HCNS
TS009,Máy scan Fujitsu fi-7160,2022-11-10,vnd,8000000,6500000,Thiết bị văn phòng,straight-line,2,5,20,Chiếc,Phòng KT
TS010,Router Cisco RV260,2023-02-28,vnd,4500000,4200000,Thiết bị mạng,straight-line,1,5,20,Chiếc,Phòng IT
